rate,churn,model,corr_raw,corr_detrended,corr_vs_true_season
30,60,ParetoNBD_MLE,0.18838502323906975,-0.05126071466287992,-0.020249690375000098
30,60,LSTM,0.8230548008423476,0.7022620624668381,0.9331062155608026
30,60,Transformer,0.4511154522398593,0.30525936057325015,0.6811790148884641
30,60,ParetoNBD_MLE,-0.020661160278567636,-0.040247717435839,-0.019963415349485904
30,60,LSTM,0.9090009846743284,0.7991710918719153,0.8955232560072347
30,60,Transformer,0.7884683754051448,0.616124958128747,0.8478308832017919
30,60,ParetoNBD_MLE,0.14258809061795025,0.06664969087517417,-0.01890239391685408
30,60,LSTM,0.8252203292914203,0.7739949763135953,0.8099132923215445
30,60,Transformer,0.3044824590351946,0.33357211750364646,0.5550490577291394
30,60,ParetoNBD_MLE,0.1516399866333475,0.062131394746397214,-0.019685084817733033
30,60,LSTM,0.916498986031218,0.8739447466504972,0.8818210306262462
30,60,Transformer,0.3949493648263289,0.467981531334014,0.6434528478544599
30,60,ParetoNBD_MLE,0.17211727225836143,-0.011796828926051202,-0.020393744874602607
30,60,LSTM,0.7974426270888917,0.7493669252386685,0.8414488674212706
30,60,Transformer,0.22946800408310916,0.042275671409866114,0.17686870113992434
30,60,ParetoNBD_MLE,0.00018463398282113347,0.03319209510477387,-0.021864371428973912
30,80,LSTM,0.6115700907843068,0.4849550797049139,0.6307659493549027
30,80,Transformer,0.3450291509863617,0.16299849123681218,0.25373133263129866
30,80,ParetoNBD_MLE,0.10335569217813668,-0.05876652542792474,-0.03820115545306913
30,80,LSTM,0.5885063508784623,0.6695152913254208,0.8625341052753043
30,80,Transformer,0.654044579358464,0.6016132325782961,0.7236274791154533
30,80,ParetoNBD_MLE,0.049351859140821144,0.03495836363016096,-0.03681943472999346
30,80,LSTM,0.5623080616993293,0.6394567760149561,0.8155153475821931
30,80,Transformer,-0.016787432523775618,-0.11156213140773637,0.1509904401316373
30,80,ParetoNBD_MLE,0.09699800049822735,0.00962017218861879,-0.03450028936017514
30,80,LSTM,0.6679169602165257,0.6678105657363307,0.8885600406233393
30,80,Transformer,0.28748890089716606,0.43775675653079454,0.74664183803158
30,80,ParetoNBD_MLE,0.058900751655747055,-0.09598537343226263,-0.03629606706034116
30,80,LSTM,0.7079656432657561,0.6918263727023826,0.8074030634911191
30,80,Transformer,0.1567399116679027,-0.003936515465268004,0.10779580355324664
30,80,ParetoNBD_MLE,0.40945177840647967,0.09101164233221386,-0.02964665759676187
30,80,LSTM,0.6863103868639133,0.45361586101151113,0.6866887240112575
30,80,Transformer,0.17532969258619988,0.31448140803763286,0.5316437028396176
30,80,ParetoNBD_MLE,0.0007560729617659327,0.07975103039706753,-0.043022434296230254
30,80,LSTM,0.7658519145877334,0.7402172053983627,0.905209096413157
30,80,Transformer,0.4287246943819493,0.39420504548009694,0.593516835276238
30,80,ParetoNBD_MLE,0.01774592565744576,0.10967712813363743,-0.032507871963034354
30,80,LSTM,0.1933956428560369,0.4195526217747782,0.6715740539553725
30,80,Transformer,0.44981123382832233,0.2991331573930268,0.5294591303086154
30,80,ParetoNBD_MLE,-0.01603601571978177,-0.021636494146007927,-0.034956747263777024
30,80,LSTM,0.5682335429936854,0.4777259236167871,0.8917170776101205
