model,arm,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman,pred_sd
LSTM,paper,12,0.3770034440256569,3.5649365550660836,25.352760551061696,58.4182003685022,-0.002450479210326485,0.19495003020871218
LSTM,paper,13,0.37724942555196583,3.5783140556416613,38.30334003221156,62.926380292416525,0.040017658842069516,0.2029302117146704
LSTM,paper,14,0.3773336522794709,3.5870886899966266,36.94717094166306,61.782890138290504,0.021446246541142047,0.20119210489410308
LSTM,paper,15,0.3769148914861567,3.577987852695062,31.971710870117217,60.66359916953307,-0.03105199576066211,0.1921977341784755
LSTM,paper,16,0.37717103446911426,3.600362348773989,39.68438975825315,66.20654390062099,0.02634929673519942,0.19358324966759197
LSTM,paper,17,0.37732867102837764,3.563819078457734,27.373892103842923,61.362303923256746,0.023567074922081634,0.18147030173393355
LSTM,paper,18,0.3771128432848531,3.574099138081604,31.044648756065357,59.55657795599787,0.003699768944577201,0.18891408723336817
LSTM,paper,19,0.3779740139613901,3.7307212394315608,68.07259706946633,83.21642805990419,0.012757855721923183,0.21635145031330216
LSTM,paper90,0,0.37739896116222477,3.671083118697355,89.59032033653264,91.535105602276,0.27104037591737884,1.907691411342633
LSTM,paper90,1,0.3763320801139876,3.4259061686026384,27.986707380606372,45.38479878090379,0.18196808146468063,0.5310749768679863
LSTM,paper90,2,0.37717229221788334,3.5525085770431204,52.42603941412342,61.3517381586692,0.19434976630602757,0.36514461350258803
LSTM,paper90,3,0.37631223808348174,3.4237761946433793,-8.18404939473859,36.38991138154429,0.2043320995440496,0.3982817188141068
LSTM,paper90,4,0.3768701095863341,3.479223466446545,58.142808343625894,67.51226985423312,0.20919463128284457,0.9575122049965552
LSTM,paper90,5,0.37703917745468857,3.562205491126106,32.73892284903583,62.1315609487871,0.1052177490685556,0.20317707932594467
LSTM,paper90,6,0.37579131040974945,3.3740267416656238,-7.419223177812555,39.19631898188589,0.23865666875228872,0.5330613914899434
LSTM,paper90,7,0.3764821033433569,3.4229295681325524,37.48636656252232,53.08350360988493,0.2475444507603595,0.6351711644275576
LSTM,paper90,8,0.3760926728880226,3.420740583208003,-10.399114155041206,33.77607363328878,0.18832528304050583,0.5095694893051252
LSTM,paper90,9,0.3762330274575768,3.3538088631486738,22.46284913252605,46.021813101464595,0.2942074106548036,0.8238755208403928
LSTM,paper90,10,0.37665641332109645,3.5037927966821996,17.248466055162083,38.14962497076246,0.11538065619085656,0.3307325940741035
LSTM,paper90,11,0.37859144621944024,3.8296734455290613,98.70109067799355,103.39366052599374,0.23541946373472605,0.6434615664183011
LSTM,paper90,12,0.3773783107670381,3.632739847031062,68.44035446054679,74.80368095119336,0.15744559711549902,0.6005407358800042
LSTM,paper90,13,0.3761319558766732,3.400243711316069,24.793455862054678,46.14587586656225,0.17095756487366925,0.5216982302725803
LSTM,paper90,14,0.3773768869761644,3.598821868416611,40.55657791336903,63.527266423763194,0.02128129850330672,0.20553336301673164
LSTM,paper90,15,0.3761923460055498,3.463705095172005,-0.44546718509209077,39.29209265351324,0.10832237380294255,0.31991380615782794
LSTM,paper90,16,0.37571043248590286,3.3168998307706032,-5.985003669035979,38.7177914185494,0.2596342601162815,0.8751698846746787
LSTM,paper90,17,0.37729727502519983,3.581287085861277,35.459440871158854,59.25153361324874,0.03776265212075511,0.200685327640654
LSTM,paper90,18,0.37640605689701134,3.4820010998750863,3.173823881673268,36.32651662914906,0.11741779606738295,0.2737722659116841
LSTM,paper90,19,0.37675583343110153,3.5186422274372737,45.238581999003685,58.543967182132754,0.12826923903955595,0.43262604825471773
LSTM,floor50,0,0.3764016072647832,3.5129016046323773,-1.7505115286614352,48.19768230178745,0.059308499829011374,0.16613549956274207
LSTM,floor50,1,0.3764705523454957,3.5211998914895477,-10.522836019699735,47.43012952959214,0.08997121620401109,0.15427493040775542
LSTM,floor50,2,0.3765284246159616,3.534320570600383,-26.033401841281393,51.23449223847388,0.08882110283815281,0.15106726494299835
LSTM,floor50,3,0.3772756460479652,3.5650738768399646,34.659168229964514,63.38650309648956,0.07875091028065699,0.21201166825414436
LSTM,floor50,4,0.3769202743923125,3.553445498089406,16.843217236879138,52.41104283096451,-0.04316734301201257,0.17881516022522084
LSTM,floor50,5,0.37646311337618715,3.5149100564222526,-6.154737839870305,46.36196311475639,0.09431856864754959,0.1677645481453601
LSTM,floor50,6,0.3760967977428684,3.4735085100646774,12.330947288812759,45.87559635892516,0.15788231071048198,0.3022802401426677
LSTM,floor50,7,0.3766307872007791,3.531107832996534,7.4931831235583815,56.04805720585311,0.021094616193271257,0.17532309477268368
LSTM,floor50,8,0.3764889126710966,3.5168801623348815,0.8766186853390524,48.10974772730059,0.09342673049854987,0.17686491826384235
LSTM,floor50,9,0.376670661469565,3.5152657129407308,8.474096526145964,47.997614132696185,0.08767052689991145,0.1978959419370482
LSTM,floor50,10,0.37666888856005165,3.5194783084276726,6.6639397830409415,48.86434898377173,0.0661167638018091,0.19637910735751685
LSTM,floor50,11,0.3765600464387746,3.504631792803716,-0.22801666139007568,46.63428765935561,0.16712802878287025,0.1839952782902703
LSTM,floor50,12,0.3763751309418866,3.529707779228898,-13.174846959849637,47.03987728824664,0.032808226076641,0.15759380396396516
LSTM,floor50,13,0.3765148742403511,3.5051471334362283,-3.3963874683303668,46.630197633426015,0.05996257321562643,0.18681175990549898
