suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_32__e,LSTM,2,17.0,0.0875931893076215,0.19974854861278069,0.46763698936234743,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,1,15.0,0.0874420553445816,0.2555920729611995,0.6189221611423802,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,3,26.0,0.0878869316407612,0.18276170778243594,0.24521866092521605,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,5,33.0,0.0888109086797787,0.2595584030271184,0.3747383104105763,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,14,34.0,0.0873106845787593,0.2541152616291232,0.6528178983693539,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,10,47.0,0.0866096280515194,0.24222991208689051,0.35022862142449573,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,12,24.0,0.08715227432549,0.27707891551036196,0.4871201136239445,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,16,21.0,0.0881256249088507,0.28926408312540347,1.17780400540049,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,15,31.0,0.0872042125889233,0.2734628827995422,0.8442732707150842,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,20,30.0,0.085591547191143,0.30629512930702973,0.4408176498564034,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,8,39.0,0.0852242372930049,0.27082419247401607,0.8443892812429794,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,6,28.0,0.0872500389814376,0.2861822987740671,0.5554547049964513,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,9,28.0,0.0874887140733855,0.2861983959528904,0.4626495319724842,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,13,22.0,0.0871353670954704,0.30213209414805975,0.7654707686324251,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_52__a,LSTM,19,30.0,0.0862897038459777,0.18229556089642315,0.7673746519743792,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,7,29.0,0.0878545138984918,0.2166343414556418,0.5136250996296685,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,4,34.0,0.088786238006183,0.26037799072321105,0.29619507336158957,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,17,18.0,0.089746994467882,0.2841022797777811,0.5683914859171487,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,18,18.0,0.0892422503003707,0.23223919649208813,0.491541952949132,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,11,26.0,0.0892016707131495,0.24580013770875994,0.6991286076638112,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,2,56.0,0.0862186569720506,0.30405546883309076,0.6559958128933744,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,1,24.0,0.08861065443073,0.265820079206937,0.6088375178656859,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,3,23.0,0.0897945669981149,0.25910255328737225,0.5372198274915568,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,5,19.0,0.0900447930280978,0.2529663421079787,0.603728729038649,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,14,35.0,0.0880138147622346,0.28102067483079646,0.3265535088170847,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,10,22.0,0.0886110599551882,0.20612050949098748,0.3506955221774839,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,12,15.0,0.0890685701026366,0.2885151118921383,0.6545602561065345,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,16,35.0,0.0884279033967426,0.2570959416220726,0.8901199065699988,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,15,28.0,0.0904334264879043,0.2014301425686482,0.3775786007367029,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,20,15.0,0.089210954095636,0.1337892383907598,0.2621436105788418,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,8,14.0,0.0894811399854146,0.2527170435931097,0.44251465419830943,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,6,17.0,0.0884616960372243,0.24701275431348957,0.4956665182199508,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,9,30.0,0.0882573146373033,0.2814241394355737,0.5064276965466151,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__a,LSTM,13,23.0,0.0894750282168388,0.3035711040380054,0.7893641844429632,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,19,27.0,0.0902011274145199,0.2645043392905435,0.6414722279780125,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,7,37.0,0.0873021132179669,0.3104252976090978,0.7151958596917066,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,4,10.0,0.089594691991806,0.27729460433754316,0.9484736357278967,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,17,7.0,0.0896575382122626,0.26626643816686807,0.6592944651115524,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,18,10.0,0.091075699776411,-0.15461434673484376,0.1745463798028327,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,11,9.0,0.0907575301826,-0.19978376508992873,0.1712414727403508,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,2,21.0,0.0892381854355335,0.2969967215997956,0.49663278364204705,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,1,12.0,0.0904224347323179,0.23718845877156483,0.2045068900547744,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,3,10.0,0.09027985855937,-0.23310717476062967,0.21544726509168013,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,5,35.0,0.0883903396981103,0.24275362094592964,0.340553594996813,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,14,22.0,0.0890271674309458,0.2887642720724134,0.6761154971163863,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,10,23.0,0.0886820544089589,0.23878916938486439,0.4338520550305958,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,12,39.0,0.0881328103797776,0.24338170223328634,0.879763863224829,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,16,32.0,0.087237574160099,0.25684830268203623,0.45458993294788735,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,15,29.0,0.0883306693285703,0.12081576378863727,0.25980931679150776,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,20,20.0,0.0898214928232706,0.21636492277526745,0.5921006909714289,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,8,25.0,0.0888851817165102,0.21646436973612446,0.5959040754984822,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,6,34.0,0.0872706789523363,0.26969436606312613,0.39694161454719146,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,9,12.0,0.090279924754913,0.31363096969931104,0.8231333833423289,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__b,LSTM,13,41.0,0.0894751325249672,0.1263597590362455,0.3904013011917642,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,19,23.0,0.089385140973788,0.22010165435250972,0.3750324265042789,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,7,19.0,0.0894966730131552,0.21952563648775625,0.35816910200345814,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,4,28.0,0.089293466082641,0.2736930070805794,0.5307784097705394,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,17,18.0,0.0893242965851511,0.16334478166143662,0.3674888793720847,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,18,22.0,0.0894954668787809,0.1865464252420465,0.8471512994914203,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,11,35.0,0.0883383620530366,0.13170708457689023,0.26392995173207234,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,2,47.0,0.0863839350640773,0.15684805081500922,0.2619939095085957,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,1,53.0,0.0865989811718463,0.20731452459186656,0.32063003793991685,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,3,16.0,0.0887389237490984,0.27319474801640553,0.6553612389023862,ar_encoding__electronics__ar_bounded_52
